caption,title
,Mixed Blush Vintage Place Settings
"Feminine roses and daisies in light pink, purple and green filled Kristyn's oversized bouquet.",Pastel Bridal Bouquet
"Maggie and Joe made their grand entrance alongside their bridal party in a massive, choreographed dance to ""Uptown Funk"" by Mark Ronson and Bruno Mars.","Bridal Party Grand Entrance to ""Uptown Funk"""
Kendra's seven bridesmaids matched mint J.Crew dresses but added personality by mixing materials--some wore chiffon while the rest wore cotton! The ladies completed their understated look with braided hairstyles and minimal accessories.,Mint J.Crew Bridesmaid Dresses
"When it came to their invitations, the couple knew they wanted something fun and different. The bold patterns went on to inspire the rest of the wedding decor.",Invitation Suite
"""I used to work at a wedding venue as a banquet server in high school, and I can remember couples having this huge fancy cake that we would cut and serve, but most of it got thrown out,""  Stefanie says. ""I vowed then that I would never spend money on an expensive, extravagant cake for my wedding."" Instead, the couple opted for a small one-tier cutting cake trimmed with fresh fruit, flowers and a ""Love"" cake topper. After dinner, the couple treated guests to a slice of white sheet cake with fresh berry filling and whipped cream--Chris's favorite treat. ""The sheet cake was delicious, and we saved a ton of money but still had a small pretty cake to display.""",One-Tier Cutting Cake With Fresh Berries
"The middle of the dining tables were decorated with lush flower arrangements inside wooden boxes. The flower centerpieces were filled with an assortment of roses, hydrangeas, scabiosa pods, stock and dusty miller.",Lush Greens and Flower Centerpieces
,White Rose Bouquet
Andrea and Colin's beachfront wedding ended with the perfect cake topper decorations--starfish!,Starfish Cake Toppers
"The chic white-fondant cake was topped with bold, gray sculpted flowers.",Modern Cake
,Wedding Rings
A cigar bar and lounge area with sofas surrounded the outskirts of the dance floor.,Cigar Bar and Lounge Area
"Rather than use paper escort cards, the newlyweds used fresh apples to help guests find their seats.",Red Apple Escort Cards
"To complement her gown, Nicki carried a hand-tied bouquet of ivory calla lilies and yellow-throated green cymbidium orchids.",The Bridal Bouquet
,Neutral Bridal Party Attire
"""It was so cute and delicious,"" Alexandra says of the modest single-tier confection topped with fresh roses.","Single-Tier Wedding Cake With ""Love"" Cake Topper"
The couple's sweetheart table featured chairs that were decorated with handmade rosettes.,Sweetheart Table
Josh's single succulent boutonniere matched the light green in his paisley tie.,Green Succulent Boutonniere
"Minette from Custom Cakes created this five-tier confection based on Amanda's dress, incorporating the Chantilly lace from the bodice on the top layers and the rosettes from her ball gown skirt. A single gold tier and the newlyweds' custom monogram added a touch of glam.","Lace, Rosette and Gold-Detailed Wedding Cake"
Andrew's classic charcoal-gray suit and silver tie complemented Shannon's whimsical gown.,Classic Charcoal-gray Suit
"Maggie and Joe's custom-designed invitation suite featured bold blooms to signify the day's garden party theme. Bold blues even coordinated with the couple's blue-hued garments they wore for the ceremony and reception. Plus, all the invitations were printed on recycled papyrus. ""Everything she created was extraordinary,"" Maggie says of working with Liz Dixon at EJD Design on the paper goods. ""Every email I received from her was like a tiny gift.""",Recycled Papyrus Invitation Suite With Garden Theme
White lights all around the barn added a soft glow to the reception space.,The Reception
Guests stayed cool with these simple program fans mounted on large wooden craft sticks and stored in an antique Carona crate.,Simple Program Fans
"Planning a cross-country wedding presented many challenges for Michelle and Matt, making a planner and a designer a must. The pair enlisted the help of Emily Starr of MStarr Event Design and her talented team of wedding professionals to pull off the rustic-chic affair. ""She brought on these amazing vendors and helped us design and execute a wedding that was filled with details that reflected us as a couple,"" Michelle says. ""She became like family during the long-distance planning process.""",Classic Fit-and-Flare Amy Kuschel Sienna Gown
"The bridesmaids carried statement bouquets consisting of a single king protea.  I found images of the king protea on pintrest and knew that was what I wanted, says Kendra. I loved how unique and bold the flower was.",King Protea Bridesmaid Bouquets
"Pashmina scarves with a tag that read, ""To have and to hold in case you get cold"" were given as favors.",Pashmina Scarf Favors
"Courtney walked down the aisle in an ivory slim-fit lace BHLDN gown with an illusion neckline and a blush underlay. ""It was just the right amount of vintage and contemporary, and I just fell in love with the neckline,"" she says.",Short Sleeve Lace BHLDN Wedding Dress
,Bright Bouquet
,White Orchid and Rose Bridal Bouquet
"The season and the setting inspired the warm color scheme of ecru, burgundy, pumpkin, and deep purple. Mae carried a striking mix of fall wildflowers including dahlias and roses in deep burgundy tones, while the attendant bouquets were filled loosely with ivory hydrangeas and Sahara roses.",The Bridal Bouquet
"Dessert included a red velvet wedding cake by Betty Bakery and Mexican hot chocolate ice cream provided by Ample Hills Ice Cream. ""Instead of a traditional topper, we found a two-piece arrow from an Easy shop, Icing101, that looked like it had been shot through the cake,"" Allison says.",White Cupid's Arrow Wedding Cake
"Tara and Mitch hung different-sized paper lanterns from the rafters, and Mitch's mom made all of the soy-based candles that decorated the dinner tables.",The Reception Decor
,Light Blue Christian Louboutin Bridal Shoes
Sweet Memories Flowers created unique rustic centerpieces for Madison and Brent's reception. Large ginger jars holding succulents and moss sat atop vintage wooden boxes. Accent pieces included antique books and handkerchiefs.,Rustic Succulent Centerpieces
,Beaded Vintage Wedding Dress
,Ivory Organza Flower Girl Dresses
,Three Tier White Floral Cake
"The cherry blossom trees had the floors entirely covered in its pink petals, decorating the area around the sweetheart table. Candles in glass cylinder vases that ranged in height added a romantic ambience, also scattered on the ground.",Cherry Blossom Tree and Candles
"In addition to the wedding cake, the dessert table had an array of pies.",Wedding Pie Table
The bride wore vintage-style mother of pearl earrings from BHLDN and a turquoise-painted bracelet she borrowed from her mother.,Couple's Shot
,Ivory Lace Wedding Dress
,Head Table Decor
"Out-of-town guests received welcome boxes upon arrival in Stowe, VT, filled with all the essentials for a fun-filled weekend. In addition to water bottles, Tommy's home-brewed beer and snacks like Vermont maple candies, artisanal popcorn and homemade cookies, Liz and Tommy included a welcome note, schedule of events and a list of their favorite places to eat and drink around town in each packet. ""The Pineapple Paperie by Marah King Designs created it all, with every item labeled and branded with our signature French blue design,"" says Liz. ""Everyone loved them!""",Custom Labelled Welcome Kits Treats
"Risa and Michael had fun with their first-dance song, choosing an upbeat oldie, ""Then He Kissed Me"" by the Crystals, to kick off the evening's dance party. ""I fell for the song as a kid watching the opening scene of 'Adventures in Babysitting,' "" Risa says. ""We never had a song that was 'our song,' and nothing else was as important to either of us as that one was to me, so that was one that Michael let me indulge in. He now loves it too, of course.""",The Foundry First Dance
"In keeping with the found objects theme, silver bowls and trays served as decor.",Vintage Silver Decor
Ivory curtains with hanging lit glass balls created a gorgeous backdrop for the indoor ceremony.,Modern Ceremony Backdrop
,Elegant Photography Pose
The menu was written on a chalkboard in a lime green frame displayed on an easel.,Green Framed Chalkboard Menu
The bridesmaids wore lovely floor-length gowns in a romantic shade of pink.,Blush Bridesmaid Dresses
"Alexandra and Walter held their ceremony and reception in the century-old building's main hall. ""We were blown away by the architecture and the acoustics of the hall,"" Alexandra says. ""Because the space was so beautiful on its own, we decorated with lots of greenery and candlelight.""","Elegant, Modern Indoor Loft Ceremony"
"Keeping with the event's low-key feel, Dor sported a light natural-colored suit, pale blue shirt and suede oxfords for his walk down the aisle. The light palette allowed his bright pink boutonniere to pop, adding a hint of playfulness to his wedding day look.",Summery Natural Suit and Pale Blue Shirt
,Floral Centerpiece with Air Plants and Roses
"Leading up to the wooden gazebo ceremony spot were white folding chairs with custom wooden signs inscribed with white calligraphy that said ""reserved."" Blush and ivory rose petals lined the limestone aisle pathway.",Wooden Chair Signs With Whimsical White Calligraphy
,Purple and White Wedding Cake
"Chelsea let her bridesmaids pick out their dress style, with the only requirements being floor-length and made of luminescent taffeta. They all followed the color scheme filled with natural hues wonderfully, especially when paired with their overflowing bouquets.",Floor-Length Neutral Bridesmaid Dresses
Angelina and Monte wed in an interfaith ceremony that took place at their home.,The Ceremony
"Alex and Brian created a lounge space in a tent in the backyard, using modern white furniture and gold-rimmed tables, which were topped with bright pink centerpieces.",Gold-Accented Lounge Furniture
Rachel wore a strapless royal satin ball gown with pockets and a pleated bodice to create a natural waistline. To complement the dress she wore a cathedral length veil for the ceremony.,Royal Satin Ball Gown
,Sapphire Engagement Ring with Halo
Linen runners showed off the rich wood of the long farm tables at the reception.,Long Reception Tables
The Hungry Hero Dessert Company created a beautiful triple-layer cake in shades of pink.,Hungry Hero Dessert Company Wedding Cake
"When it came to designing their wedding cake, Jennifer and Michael went with an unfrosted, naked cake to go with Brooklyn Winery's rustic vibe. The pastry chef at Sweet Chick, where Michael works, collaborated with the couple to dream up a fun, flavorful peanut butter and jelly cake -- vanilla cake with peanut-butter frosting and raspberry comfit filling.",Peanut Butter and Jelly Naked Cake
,Bell Jar Wedding Centerpiece
"""We had a sparkler exit and it was about to rain so we had to be quick,"" Tara says. ""We left on a Charleston Rickshaw bike. It was pouring by the time we were in the Bike Rickshaw. We had an umbrella and were drenched, but we were too excited to care.""",Charleston Rickshaw Bike Wedding Grand Exit
The formal groomsmen looked timeless in classic black suits.,Traditional Groomsmen Formalwear
All the bridesmaids wore the same lilac-hued cocktail dress with a V-neck.,Bridesmaids' Looks
"A tall arrangement of manzanita branches dripping with white blooms, votive candles and crystals greeted guests at the entrance of the reception space.",Elegant Manzanita Branch Centerpiece
"A luscious six-foot flower chandelier hung over the banquet table at the barn reception at Chandelier Grove in Tomball, Texas. It was crafted with peonies, garden roses and lots of greenery.",Flower Chandelier
,White Buttercream Cake with Fresh Flower Accents
,Bohemian Style Reception Dress
"Llubav Choy Duerr, a designer in New York, made a felt ring pillow with yellow accents for the ring bearer.",Designer Ring Pillow
"Erica and Stephen served two types of cake after dinner. Gluten-free guests enjoyed a decadent slice of vanilla cake with mango filling, while the rest of the couple's family members and friends were treated to vanilla cake with buttercream frosting and toffee crunch.",Ivory Cake With Garden Rose and Dahlia Cascade
"Planner Lindsay Moynagh of House of Hannah and Liv's mother transformed Chateau de Courtomer into a romantic bohemian dream, adorning the stairs with a lavish garland of lilies of the valley, garden roses and greenery, styled alongside loosely scattered white rose petals.",Lush Garden Rose and Greens Garland
"Instead of a traditional veil, Colleen added a netted flower hair clip to her 'do.",The Bride's Look
"""Growing up, I collected teacups with my grandma until she passed,"" Brittany says. ""Since then I have always loved vintage teacups and china. I wanted my grandma to be a part of our wedding day, so we served soup in vintage teacups and had mismatched china as the table settings.""",Mismatched China Dinnerware with Rosette Linens
Katie selected glamorous ivory Badgley Mischka peep-toe heels with crystal embellishments to compliment her drop-waist gown.,Badgley Mischka Peep-Toe Pumps
Guests plucked their escort cards from beds of wheatgrass. Their names were handwritten in print to reinforce the laid-back vibe.,The Escort Cards
"The girls held bunches of pink peonies, white orchids, pink and white roses, and green accents, similar to Katie's bouquet.",Pink Bridesmaid Bouquets
"For a soft and delicate look on her wedding day, Celeste, wore a Monique Lhuillier gown in ivory tulle which was accented with a tulle belt that was embroidered and had beading.",Monique Lhuillier Gown
"Even though Amanda told her bridesmaids they could choose whatever style dress they wanted from the J.Crew, Cotton Cady line (as long as it was the lavender color), but they ended up all choosing the same style! Amanda also let her bridesmaids choose whatever color shoes but they all ended up going with a gold color shoe in different styles.",Casual Lavender J.Crew Bridesmaid Dresses
Satin flats and paper flower bouquets popped against the bridesmaids' mixed gray dresses.,Modern Bridesmaid Accessories
"Shannon's friend and maid of honor asked her what her dream ring would look like, so she sent a picture to her, which her friend in turn sneakily sent to Trevor to help him find the perfect engagement ring. Trevor proposed to Shannon on New Year's Eve. On their drive to Wintergreen Resort in Virginia's Blue Ridge Mountains, Trevor pulled over to a picturesque overlook where the couple took photos. He got down on one knee, with her dream ring in his hand.",Solitaire Engagement Ring
"Tying in with the evening's rustic theme, the couple's wedding cake featured a charming woodland design. The three-tier confection was adorned with a hand-painted wood-grain pattern, purple wildflowers and petite bird cake toppers.",Wood-Grain Wedding Cake
,Charcoal Bridesmaid Dresses
The escort cards were placed in tiny brown paper bags and hung with clothespins in front of the saloon at the Star Hill Ranch.  Tables were all named after horses that have grazed on Reagan's family's ranch.,The Escort Cards
"To pay homage to the groom's French upbringing, guests took home French chocolates and candied almonds. Orange boxes and yellow ribbons coordinated with the rest of the day's details.",Orange Wedding Favor Boxes
Guests signed little notes and attached them to quilt squares so Allison could make a quilt to remember the day.,Quilt Square Guest Book Notes
"Tall, textured arrangements of hydrangeas, orchids, proteas, spider mums and berries, set in leaf-wrapped cylinder vases, topped some of the dinner tables.",Orange and Red Centerpieces
,White Rose and Hydrangea Centerpiece
"Jill carried a bouquet of vibrant-colored roses, zinnias and green poms broken up with longer stems of bells of Ireland.",Colorful Bridal Bouquet
"In addition to cake, guests could select from a variety of desserts including these pastel-toned macarons.",Dessert Bar With Macarons
"""We chose five small cakes because of just too many options,"" Allison says. ""It was so hard to pick a style, but we definitely knew we wanted chocolate cake with white chocolate filling and white cake with white chocolate filling, plus raspberry sauce."" Macarons made an appearance on the dessert table as well, with flavors of pistachio, vanilla and chocolate for guests to enjoy.",White Wedding Cake and Macaron Display
The metallic-framed table numbers picked up the floral design from the programs.,Table Numbers
All 38 guests dined under a turquoise tent accented with gold embroidery.,Outdoor Tented Wedding Reception
"Madelyn and Joseph had custom leather invitations printed by Southern Hide. The design by Myrtle and Lloyd started with the newlyweds' custom monogram surrounded by antlers and a laurel, with whimsical calligraphy paired with modern print.",Neutral Leather Wedding Invitations With Natural Monogram
Family and friends waved streamers energetically as the bride and groom made their reception exit.,Lively Streamer Exit
"Jen called on her Eventcetera team once again, and a family friend made the three-tiered cake. She used a special tool to press a woven basket pattern into the white icing and painted on brown coloring. Jen and Jeff found vintage cake toppers at their favorite antique shop.",Vintage Cake Topper
Chocolate and vanilla cupcakes were displayed on a large cupcake stand with a sweetheart cake on top as dessert.,Cake and Cupcake Dessert Spread
"The couple wanted a classic color scheme they'd never regret. They kept it simple with black, white and gold. Then they drew inspiration from the venue's burnt orange wall and added pops of the fun color throughout, from the flowers to the candles.",Retro Orange Color Theme
"The bridal bouquet mixed pale green succulents with soft pink roses, yellow ranunculuses and white dahlias.",Colorful Succulent Bridal Bouquet
"Liz and Mike had their outdoor wedding at the French House, with lush green landscaping surrounding the ceremony setup. Rows of white folding chairs faced the wedding arch, draped in white linens and topped with garden roses.",The French House Outdoor Ceremony Site
The bride and groom's invitation suite was designed with funky floral watercolor illustrations.,Colorful Invitation Suite
Amber's little sister actually made the two-tiered buttercream and fondant wedding cake. She finished it with a black silhouette cake topper.,Purple and White Wedding Cake
,"Classic, DIY Hanging Escort Cards"
,White and Cream Bridal Bouquet
"Mallory's vibrantly colored bridal bouquet consisted of peonies, poppies and ranunculus (her favorite flower). The arrangement overflowed with beauty, making Mallory speechless from the moment she saw the masterpiece.","Peony, Ranunculus and Poppy Colorful Bouquet"
"Sarah bought yellow burlap fabric and cut it down to size for the table runners. On top, each table had a pitcher of pinwheels.",Floral and Pinwheel Centerpieces
"Emmy Star Brown, a family friend and artist, made every table number for the Naples, Florida, reception. The white painted numbers were encased in a block of acrylic material, giving it a modern, clean look.",Lucite and White Table Number
"The bridesmaids carried different versions of anemones, garden roses, ranunculus and scabiosa in their blush and ivory bouquets.","Anemone, Ranunculus, Garden Rose Bouquets"
,Coral Place Settings
"""I wanted a boho beach wedding with rich orange sunset colors in the flowers,"" says Gwynne, whose florist, The Little Branch, created a fiery peach and ivory bouquet from garden roses.",Sunset Orange Rose Bouquet
The Blue Ridge Mountains provided a stunning background for the outdoor ceremony (guests even enjoyed a heat lightning show!).,Rustic Outdoor Ceremony
Karen found the simple ring dish online to use during the ceremony. Now it sits on their coffee table as a reminder of their wedding.,Etsy Ring Dish
"Andrew proposed to Andie with a bottle of Snapple Diet Peach Tea (one of her favorite drinks) on a picnic to celebrate moving in together. Instead of having a fact on the inside of the cap, it had a proposal.",Engagement and Wedding Rings
The escort cards hung from clothespins on twine strung across a wooden barn on the property.,Yellow Escort Cards
,Farm Tables With Pink Linens
"Melany and Joel's cake sat on a glass base elevated by candle jars and filled in with lemons and limes. Tiny green pearls decorated each tier of the buttercream-and-fondant-covered cake, and instead of traditional flowers or bride and groom figurines, a lemon and a lime topped it off.",The Cake
"One centerpiece style featured a wooden flower planter box filled with a mix of roses, dahlias and snapdragons.",Flower Planter-Box Centerpiece
Jen went for a classic lace gown but finished her look with a retro birdcage veil.,Classic Lace Gown
"Skye didn't have many requests when it came to the florals at her wedding, other than to keep things feeling organic and to incorporate small pops of red. Light pinks, pale oranges, whites and greenery were used to keep everything feeling fresh, light and blended with the natural environment.",Poppy Red Accented Bouquet
"During dinner, people mingled outside the tent and enjoyed the park.",Carillon Park Wedding
They had both long and round tables and the reception. The tables had white tablecloths and light pink napkins with a pink table runner. The tall centerpieces had an ombre pink color scheme to complete the look.,Tall Centerpieces
,Bride and Groom Reception Chairs
"Vases of varying shapes and sizes added to the reception's mix-and-match look. Some smaller vases were filled with a single bloom, like this ""dinner plate"" dahlia.",Pink Dahlia Centerpieces
,Coral Vintage Style Earrings
"""Oh, my bridal cakes--how I loved them!"" Rebekah says. ""Shannon Star with Layered Bakeshop did a phenomenal job."" The three textured confections were frosted with buttercream and topped with fresh blooms.",Three Wedding Cakes
,Colorful Centerpiece Display
"Brian popped the question in New York City's Central Park, coordinating with Megan's coworkers to send her to the Big Apple for a work trip. After she said yes, Brian surprised Megan by having their families waiting at a restaurant to celebrate with them.",Purple Velvet Ring Box
"A Chicago wedding was an easy decision for these high school sweethearts, who met and grew up in the Windy City.",Lace & Tulle Gown
"Larissa and Trevor's family and friends gathered outdoors at the end of the night and sent the newlyweds off in a tunnel of bright, festive light.",Thomas Fogerty Winery Sparkle Send Off
"Fresh peonies, French tulips, and garden roses graced half the tables, while the other half had pillar candles surrounded by garden roses.",Spring Floral Centerpieces
"White calligraphy popped 
on the navy envelopes 
of the invitations.",Navy-and-White Invitations
,Light Pink Boutonniere
Elegant numbers printed on pink and green cardstock with vintage graphics helped guests find their tables.,Elegant Table Numbers
,Wild Bud Vase Centerpieces with Pitcher Plant
The groom and his groomsmen looked dapper in navy fitted suits. Navy polka-dot bowties added a preppy touch to their classic ensembles.,Classic Navy Suits With Polka-Dot Bowties
,Cute Cake Topper
The bride and groom combined the backyard garden look of their wedding with their love of cooking by naming their tables after common herbs and using seed packets of these seven herbs as the escort cards.,The Escort Cards
,Vineyard Ceremony
"Alex carried a textured mix of roses, dahlias, scabiosa pods and succulents.",Textured Rose Bouquet
"The couple wanted to personalize their reception space at Telluride Ski Resort in Telluride, Colorado, so they decked the room's built-in bull's head with a flower crown to match the day's floral design.",Rustic Reception Decor
Maddy carried an ethereal-looking arrangement of white orchids and hydrangeas.,White Orchid and Hydrangea Bouquet
Tyler's six groomsmen paired navy vests with their black tuxes to match the bridesmaids.,Navy Vest Formalwear
A grapevine motif suited the vineyard setting. Guests also got a glimpse of the wedding's rich color palette.,Grapevine Invitations
,Photo Guest Book
"Jars of bright red candies displayed the escort cards. ""Later, we let guests fill bags with the candy as favors,"" says the bride.",Edible Escort Card Display
"The multitier cake embodied the purple, pink, white and gold color scheme. Gold and white layers stacked on top of one another, with pink and purple roses wedged between.",Gold-and-White-Tiered Wedding Cake
"In order to achieve the perfect shade of white, the cake designer used fondant to create a ruffle effect ""that spiraled up the cake in silver,"" Justin says. ""We had a spatter of blue ink across the cake to finish things off.""",Artfully Decorated Cake
"Located on the lawn next to the ceremony site, the cocktail hour area had a lounge area as well as hightop tables for the guests to enjoy.",Outdoor Cocktail Hour Decor
"The ceremony and reception were held at the Foundation for the Carolinas in downtown Charlotte, North Carolina. ""We wanted to make sure the transition was as easy as possible for our guests,"" Samantha says. ""We wanted it to be easy to get home after and to enjoy the city, since 80 percent of our guests were visiting.""",Downtown Charlotte Reception
"The couple wanted to exchange vows at an outdoor venue with natural surroundings and found Hawkesdene House in Andrews, North Carolina. ""It was an in-state destination wedding--the closest guests lived four hours away--and we knew our guests would be apprehensive about driving to the mountains,"" says Elisa. ""But I also knew once they arrived at Hawkesdene it would be something they would never forget!""",Elisa and Justin's Hawkesdene House Wedding
"This incredible wedding cake by Cakes by Cynthia felt like fall: gold details over ivory buttercream and pops of flowers in earth tones. It was a carrot cake, which is Pamela's favorite.",Detailed Gold Fall-Inspired Wedding Cake
"""We are both Colorado natives and love the beauty of our mountains,"" says Margaret, who chose Telluride for its intense natural beauty and personal connection--her family has been coming to the region for many years.","Contemporary, Colorful Fall Wedding"
"Instead of wearing identical dresses, the bridesmaids wore varying styles of salmon-hued Amsale gowns.",Salmon Bridesmaids Dresses
"Amanda went to a fabric store in Lynn, MA and bought fabric with a print that matched the bridesmaid dresses, and her mom's friend sewed the 20 runners.",Silver Pail Centerpiece and Lavender Table Runner
Jenna selected glitzy Jimmy Choo Luna heels from Nordstrom to complement her traditional ball gown.,Glam Jimmy Choo Heels
"""For several months leading up to the wedding, my mother-in-law and I scoured local thrift shops and antiques malls, gathering up as much brass as we could,"" Michelle says. ""We found everything from cake plates to candlesticks and had more brass than we knew what to do with."" At the reception, tables were dressed in light dove gray and cream linens and were topped with vintage brass vases filled with lush floral arrangements.",Eucalyptus Garland with Brass Candlestick Centerpiece
"Fitting for a warm day spent surrounded by nature, Tracy and Michael (and their guests) sipped on pints of draft beer. Signature cocktails were also available.",Bride and Groom Beer Mugs
A vintage Rolls-Royce made for a stylish ride from the ceremony to the reception.,White Vintage Rolls Royce
Kelly and Bryan ring the Ian Chapel bell at Camp Lucy in celebration of their recently-exchanged vows.,Bride and Groom Ring Chapel Bell
Jenni's bridesmaids wore plum dresses with champagne heels and carried ivory bouquets and vintage-inspired necklaces.,Plum Bridesmaid Dresses
"Emily and Beau's two flower girls wore matching white lace dresses with three-quarter sleeves for the rustic wedding. They carried white wicker baskets filled with white tulips that still had their stems. Instead of throwing traditional petals, they handed the flowers to the guests at the end of the rows.",Flower Girl Dress With Three-Quarter Sleeves
,Half Updo with Romantic Waves
"Alison walked down a lush, white suede aisle runner to the huppah, where she and Patrick exchanged vows in front of yards of crisp white fabric.",The Ceremony
"Brandi carried a ruffled mix of roses, peonies and hypericum berries.",Bridal Bouquet
"Lush floral garlands and overflowing flower arrangements in low gold mercury vases decorated alternating tables. Small mercury votive candles were scattered throughout, and bud vases at each guest's place setting added fullness to each table. ""It looked like what you'd see at a winery wedding, except it was all on a deck overlooking a lake. My jaw dropped when I first peeked through the window at the whole set-up,"" says Katie.",Eucalyptus Dining Table Garland at The Minikahda Club
"With the vineyards as their backdrop, Thomas and David's ceremony was outdoors surrounded by two small gardens. Their chuppah consisted of smilax vine accented with light touches of porcelain berry vine and florals, including Tardiva hydrangeas, white polo garden roses and white majolica spray roses.",Berry Vien and Hydrangea Covered Chuppah
"Each envelope was truly a piece of artwork, Amy says. Her calligrapher worked on many of the wedding details, including the wine charm place cards, envelopes, and the cootie catchers.",The Reception Decor
"Everything in Liz and Mike's wedding was covered in flowers. They welcomed guests to the ceremony location with this black-and-white sign. It was surrounded by a leafy green garland in the shape of a heart, which was also accented with garden roses and astilbes for a touch of romance.",Leafy Heart Garland 'Welcome' Wedding Sign
Silver chiavari chairs were covered with airy tulle.,Tulle Reception Chair Decor
"Though Lauren wouldn't classify her style as particularly girly, she chose an incredibly romantic ball gown by Monique Lhuillier. ""The fuller skirt just felt so quintessentially bridal to me,"" Lauren says. The gown, which consisted of a lace sweetheart corset bodice and an airy full skirt, was understated yet elegant, checking all the boxes for the bride-to-be. ""It was simple in the front, but had this gorgeous structural detailing in the back,"" Lauren says. ""When bustled, it created this beautiful waterfall effect.""",Monique Lhuillier Romantic Bridal Separates
Rachel's nieces and nephews carried this sign down the aisle during the ceremony.,Sign Bearers
Small vintage glass bottles filled with one or two blooms hung from the chairs along the ceremony aisle and added lots of color.,Hanging Floral Decor
The modern three-tiered cake was frosted with white buttercream ribbons.,Ruffled Cake
"Brittany wore a strapless white wedding dress with a sweetheart neckline, a natural waistline and a ball-gown skirt that embodied an elegant look on the wedding day. The entire dress was accented in organza embroidery.",White Ball-Gown Wedding Dress
"Framed by two arched palm leaves, Jess and Dave exchanged heartfelt and humorous personalized vows, including ""promising not to go to Ikea together hungry.""",Beach Ceremony With Personalized Vows
Bright pink florals accented the romantic greenery of Caitlin's bouquet. Omaha wedding planner Creating Atmosphere crafted the bouquets and flower arrangements.,"Pink, Peach and Purple Bridal Bouquet"
,Confetti Exit
Kristin and Matthew had their three-tiered cake designed to coordinate with their invitations. The buttercream-frosted cake was accented with an azalea pink ribbon and fresh white orchids.,The Cake
,Hydrangea and Rose Filled Urn
"Desiree and Marvin enjoyed a three-tier white wedding cake adorned with gold satin ribbon on the bottom of each layer. On the inside, the cake was white with strawberry filling, white with cannoli filling or red velvet. ""We chose the cake topper from Etsy and it might be our favorite detail of the night,"" Desiree says. ""It incorporated a line from 50 Cent's '21 Questions' about being there for each other no matter what -- through thick and thin.""",Like A Fat Kid Loves Cake Topper
Guests sipped specialty lemonades served from elegant glass dispensers.,Lemonade Cocktail Hour
This vintage desk was topped with tons of hydrangeas and old-fashioned board games and an antique camera.,Vintage White Desk Decor
Michael's groomsmen donned steel gray tuxedos by Jean Yves with matching navy ties.,Gray Traditional Formalwear
,White Boutonniere
"Guests found their escort cards at a wine-barrel table that held wine bottles with labels for each table's seating arrangement. Marcardin Calligraphy inscribed guests' names in gold ink onto delicate blush paper in Jonathan Edwards corks, which the couple collected throughout the year leading up to their wedding.",Wine-Cork Escort Cards with Gold Calligraphy
The bride's mom crocheted these fabric flowers and attached pins to the back. Then the bride's aunt cut paper leaves and wrote out guests' names and table numbers.,Rose Escort Cards
"With the help of wedding planner Maddie Hughes from Ask for the Moon Events and florist Mickey O'Kane, Anna and Brandon exchanged vows between two lush, textured floral arrangements. We love the mix of yellow sunflowers with pink dahlias, red zinnias, burgundy coxcomb and plenty of textured greenery.","Yellow Sunflower, Pink Dahlia Wedding Altar Decor"
Glenn looked stoic in his dress blues alongside Laura in a classic ivory Ines DiSanto strapless gown.,Marine Corps Formalwear
,Nautical Style Invitations
"Emily and Bobby's reception decor made a statement with different patterns of blue, including stripes and floral.",Patterned Blue Reception Decor
"The reception also took place in the Brooklyn Winery atrium in Brooklyn, New York, under a canopy of ambient bistro lights and a glass dome that gave way to the night sky. The venue's innate character let the couple go light on the decorations, with petite bundles of bright florals, votives and gilded accents bringing elements of polish and romance to the  venue.",Brooklyn Winery Reception
"The wedding cake was iced in white and featured lemon cake with vanilla bean and raspberry buttercream frosting. One layer of the cake was iced in gold, while the other tiers had gold accents. Fresh, organic florals highlighted the dessert.",Gold-Accented Wedding Cake
"In additional to a midnight snack of pizza, Kristin and Justin gave their guests candy bars wrapped in orange and pink paper.",The Favors
,Sweetheart Table Couple with Lace Covered Chairs
"The four-tiered, square wedding cake that Corrine and Dan chose was full of personal significance. The top tier featured both of their families' coats of arms, and green dendrobium orchids served as a nod to the couple's Irish heritage and engagement.",The Cake
"America chose between four cakes for the Dream Wedding and decided on this white, four-tiered Ruffles and Buttons themed cake by Cake Alchemy.",Ruffles and Buttons Wedding Cake
"When dinner was announced, more black velvet drapes opened to reveal a Technicolor reception room, as though guests were actually in a scene from The Wizard of Oz, going from black-and-white to color. Tables were draped in crushed garnet silk and topped with blazing orange napkins and an arrangement of red, orange, and green flowers. Chargers were a deep garnet color with gold crackle, while red and orange Japanese lanterns swayed from the ceiling.",The Reception
Fresh green and white garlands distinguished the bride and groom's chairs from the rest of the head table.,White and Green Garlands
The bridesmaids wore blue chiffon dresses in different silhouettes; the maids of honor (Kate's identical twin sisters) wore a lighter shade of blue to distinguish themselves.,Bridesmaids' Looks
"The Pavilion at Galleria Marchetti in Chicago, Illinois, features crystal chandeliers, an 800-square-foot dance floor, and an adjoining terrace featuring a 72-foot long fire pit, set alongside a beautiful and expansive courtyard. In lieu of favors, Lauren and Kent donated on everyone's behalf to Paws Chicago, the no-kill animal shelter where they adopted their fur baby, Winnie. ""We wanted to do something to give back to the very place that was so good to us,"" Lauren says.",Permanent Outdoor Tent
"""I wanted to look elegant but also stylish and modern,"" Nichole says of her day-of look. She accessorized her ruffled Rivini mermaid gown with chunky gold jewelry and a birdcage veil.","Strapless, Ruffled Rivini Mermaid Gown"
